Email Text,char_length,true_label,pred_label,features
"win a porsche and politically empower internet users ( 293 ) if there was a way for you to win a 1999 porsche carrera and help a non-profit organization politically empower internet users , would you like to obtain all of the facts ? to find out how to win the porsche , see the site below or click on it . http : / / nonprofit2 . org / raffle / howtowin . htm * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * 38105",458,0,0,"['contains suspicious link', 'promises to win a Porsche', 'urgent tone']"
"On Wed, Jul 31, 2002 at 09:44:08PM -0400, Sven wrote:
> With v2.14 of razor client and using Solaris 9 with sendmail 8.12.5 I have
> managed to get smrazor working (milter) -- sort of ... With light server
> loads, it seems to do fine; however during peak traffic times (or peak
> catalogue server usage???) , the smrazor milter stops and sometime dumps
> core as well.  Does anyone know of a limit in terms of number of
> messages/minute that can be theoretically processed? I have noticed timeouts
> occuring (I set the milter timeout per message to 15 seconds) often in huge
> lumps and the occasional ""Could not get valid info from Discovery Servers"")
> ?????15 seconds is more than enough timeout... There's no request/minute limit,
and we are not close to hardware limits on any of the servers.Could you send me relevant sections from the log file as well as
your config?-- Vipul Ved Prakash          |   ""The future is here, it's just not 
Software Design Artist     |    widely distributed.""
http://vipul.net/          |              -- William Gibson-------------------------------------------------------
This sf.net email is sponsored by: Dice - The leading online job board
for high-tech professionals. Search and apply for tech jobs today!
http://seeker.dice.com/seeker.epl?rel_code=31
_______________________________________________
Razor-users mailing list
Razor-users@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/razor-users
",1463,1,1,"['sends technical inquiry', 'specific server details', 'no suspicious links']"
"> > > holiday in florida ! < < < ` , , ` , , ` , , ` florida / bahamas / cancun family holiday ! ! ! ! ` , , ` , , ` , , ` you have been selected to enter for a limited time only ! family getaway for 2 adults 3 children or 4 adults ! offer now available world wide for a limited time only ! if selected you could enjoy : 1 . 4 days 3 nights in magical orlando florida , home of disney world where you will enjoy the hospitality of either the comfort suites or holiday inn . have a blast with a free family pass to watermania water park in orlando . you will also receive the orlando "" magic card "" entitling you to hundreds of dollars worth of discounts in the orlando area ! ! ! ! ! ! 2 . then enjoy 3 days 3 nighs in sunny cocoa beach florida , living it up at the hilton overlooking the atlantic ocean ! ! ! put the kids to bed early . . . . . . and enjoy 2 complimentary adult casino cruise tickets ! ! ! ! ! 3 . a complimentary alamo rental car with unlimited mileage for your stay in florida ( must carry a mjor credit card for car rental deposit ) register now to take advantage of this once in a lifetime holiday and if you qualify enjoy . . . . . . . . this special online offer ! ! ! reply within 48 hours of receipt and you will also recieve : 2 bonus mini vacations > 4 days / 3 nights in beautiful cancun , mexico at the piramides cancun beach resort ! ! > 4 days / 3 nights in nassau , grand bahamas at the marriott crystal palace resort & casino all of this for only $ 678 for 2 adults and 3 children , or 4 adults ! ! ! ! ! ! ( if you do qualify you will need to secure promotional fees on a major credit card to guarantee your travel date ) register now ! ! ! reply to maryj @ digital . intersponse . com with ' holiday ' as the subject and the following information : full name : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ address : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ city : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ state ( or county ) : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ zip ( or postal code ) : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ age ( must be 21 ) : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ married ( yes / no ) : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ if yes , spouses name : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ day phone : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ evening phone : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ best time to call : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ which credit card do you use : _ _ _ _ _ _ _ _ _ please include information for all fields , incomplete registrations will be discarded . this is not a contest , lottery or sweepstakes . you are qualified based on demographics such as age , area you live in , etc . qualified entrants will be contacted by one of our experienced travel representatives with the full details . only one phone call per household . ( all fields must be filled completely in order to be a valid entry . this info will remain completely confidential ! ) this covers all fees except for any incidentals such as phone , food , gratuities , and hotel taxes which are paid directly to the hotel . removal : if you would like to be removed from our mailing list , respond to jorry @ digital . intersponse . com with ' remove ' in the subject and your email address in the body .",3281,0,0,"['Unsolicited holiday offer', 'Request for personal info', 'Suspicious email address']"
"fw : fw : a / c recommendation david - - - - - original message - - - - - from : oxley , david sent : monday , april 23 , 2001 9 : 00 am to : zisman , stuart subject : re : fw : a / c recommendation thanks - - - - - original message - - - - - from : zisman , stuart sent : monday , april 23 , 2001 8 : 54 am to : oxley , david subject : re : fw : a / c recommendation allstate mechanical services scott roger ( 281 ) 457 - 6900 office ( 281 ) 235 - 8209 mobile really nice guy . also did work for rodney malcolm . should be willing to come out to you . stuart",559,1,1,"['no urgent language', 'no suspicious links', 'consistent sender information']"
"I'm getting these messages and I'm not sure what they mean. Can anyone clear 
this up for me? Thanks.Sep 15 11:45:09 linux mailscanner[6128]: RBL Check ORDB-RBL timed out and 
was killed, consecutive failure 3 of 7
Sep 15 11:45:24 linux mailscanner[6128]: SpamAssassin timed out and was 
killed
-- 
This message has been scanned for viruses and
dangerous content by MailScanner at comp-wiz.com,
and is believed to be clean.-------------------------------------------------------
This sf.net email is sponsored by:ThinkGeek
Welcome to geek heaven.
http://thinkgeek.com/sf
_______________________________________________
Spamassassin-talk mailing list
Spamassassin-talk@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/spamassassin-talk
",753,1,1,"['scanned for viruses', 'no suspicious links', 'no urgent language']"
"
A.yellow:link {text-decoration: none; color: #FFF200}
A.yellow:visited {text-decoration: none; color: #FFF200}
A.yellow:active {text-decoration: none; color: #EFEFC8}
A.yellow:hover {text-decoration: none; color: #FFFFFF}
. 
              U N I V E R S I T Y . D I P L O M A S .Do 
                you want for a prosperous future, increased money earning power, 
                and the respect of all?
We 
                  can assist with Diplomas from prestigious non-accredited universities 
                  based on your present knowledge and life experience.
No required tests, classes, books, or 
                interviews. 
Bachelors, 
                masters, MBA, and doctorate (PhD) diplomas available in the field 
                of your choice - that's right, you can become a Doctor, Lawyer or Accountant and receive 
                all the benefits and admiration that comes with it!
No 
                one is turned down!
Confidentiality 
                assured - Change your Life Today!
                  Either Click Here or 
                  you can call us 24 hours a day, 7 days a week! (including 
                  Sundays and holidays):
1 - 213 - 947 - 1009  Contact 
                us NOW to receive your diploma within days, and start improving 
                your life!Did you receive an email advertisement in error? Our goal is to only target individuals who would like to take advantage of our offers. If you'd like to be removed from our mailing list, please click on the link below. You will be removed immediately and automatically from all of our future mailings.
 We protect all email addresses from other third parties. Thank you.
Please remove me.
",1698,0,0,"['Offers diplomas without accreditation', 'Urgent call to action', 'Unverified contact details']"
"eol and enpower data for september 26 th eol deals from : 9 / 1 / 2001 to : 9 / 26 / 2001 ` enpower from : 9 / 1 / 2001 to : 9 / 26 / 2001 desk total deals total mwh desk total deals total mwh epmi long term california 484 9 , 632 , 525 epmi long term california 98 4 , 273 , 805 epmi long term northwest 358 5 , 573 , 000 epmi long term northwest 413 15 , 115 , 061 epmi long term southwest 427 6 , 818 , 380 epmi long term southwest 277 22 , 328 , 990 epmi short term california 2 , 237 1 , 979 , 159 epmi short term california 639 1 , 660 , 125 epmi short term northwest 1 , 202 828 , 800 epmi short term northwest 572 623 , 409 epmi short term southwest 1 , 710 1 , 420 , 050 epmi short term southwest 843 2 , 400 , 648 real time 1 , 112 27 , 900 real time 642 70 , 882 grand total 7 , 530 26 , 279 , 814 grand total 3 , 484 46 , 472 , 920 eol deals from : 9 / 26 / 2001 to : 9 / 26 / 2001 enpower from : 9 / 26 / 2001 to : 9 / 26 / 2001 desk total deals total mwh desk total deals total mwh epmi long term california 30 568 , 800 epmi long term california 4 99 , 600 epmi long term northwest 17 236 , 400 epmi long term northwest 34 1 , 328 , 096 epmi long term southwest 12 251 , 225 epmi long term southwest 33 4 , 538 , 580 epmi short term california 173 363 , 575 epmi short term california 49 202 , 368 epmi short term northwest 101 66 , 800 epmi short term northwest 42 106 , 856 epmi short term southwest 89 170 , 450 epmi short term southwest 47 177 , 150 real time 66 1 , 675 real time 45 4 , 457 grand total 488 1 , 658 , 925 grand total 254 6 , 457 , 107 ice volumes from : 9 / 26 / 2001 to : 9 / 26 / 2001 delivery point total mwh epmi mwh price mid c ( op , next day ) 400 0 $ 16 . 75 mid c ( p , next day ) 2 , 400 800 $ 20 . 50 mid c ( p , oct - 01 ) 10 , 800 0 $ 23 . 50 mid c ( p , nov - 01 ) 30 , 000 10 , 000 $ 29 . 92 mid c ( p , jan - 02 ) 10 , 400 0 $ 37 . 25 mid c ( p , ql 02 ) 30 , 400 0 $ 32 . 25 np - 15 ( p , next day ) 800 800 $ 25 . 00 np - 15 ( p , nov - 01 ) 20 , 000 10 , 000 $ 29 . 88 palo ( p , next day ) 9 , 600 0 $ 26 . 89 palo ( op , next day ) 800 800 $ 15 . 07 palo ( op , oct - 01 ) 7 , 825 0 $ 17 . 00 palo ( p , oct - 01 ) 172 , 800 10 , 800 $ 26 . 11 palo ( p , nov - 01 ) 50 , 000 10 , 000 $ 25 . 80 palo ( p , dec - 01 ) 20 , 000 0 $ 30 . 75 palo ( p , jan - 02 ) 20 , 800 0 $ 30 . 50 palo ( p , ql 02 ) 30 , 400 0 $ 29 . 50 palo ( p , q 4 02 ) 30 , 800 0 $ 33 . 00 sp - 15 ( op , next day ) 1 , 200 0 $ 16 . 58 sp - 15 ( p , next day ) 6 , 400 800 $ 25 . 03 sp - 15 ( p , oct - 01 ) 21 , 600 0 $ 25 . 05 sp - 15 ( p , nov - 01 ) 10 , 000 10 , 000 $ 27 . 50 sp - 15 ( p , dec - 01 ) 20 , 000 0 $ 32 . 88 sp - 15 ( p , jan - 02 ) 10 , 400 0 $ 33 . 00 sp - 15 ( p , ql 02 ) 30 , 400 0 $ 33 . 00 grand total 548 , 225 54 , 000 $ 642 . 71",2786,1,0,"['contains detailed numerical data', 'lacks personal greeting', 'no verified sender information']"
"weekly update louise , i will see you at 1 : 30 pm on monday to give you an update on everything . we should also discuss this concept on giving asset marketing a margin target . thanks , don",191,1,1,"['Personal greeting', 'Casual language', 'No suspicious links']"
"use Perl Daily NewsletterIn this issue:
    * This Week on perl5-porters (19-25 August 2002)
    * Slashdot Taking Questions to Ask Larry Wall+--------------------------------------------------------------------+
| This Week on perl5-porters (19-25 August 2002)                     |
|   posted by rafael on Monday August 26, @07:42 (summaries)         |
|   http://use.perl.org/article.pl?sid=02/08/26/1154225              |
+--------------------------------------------------------------------+I guess those thunderstorms came. And how they came. From an even wetter
than normal country on the shores of the North Sea, comes this weeks
perl5-porters summary.This story continues at:
    http://use.perl.org/article.pl?sid=02/08/26/1154225Discuss this story at:
    http://use.perl.org/comments.pl?sid=02/08/26/1154225
+--------------------------------------------------------------------+
| Slashdot Taking Questions to Ask Larry Wall                        |
|   posted by pudge on Monday August 26, @14:41 (perl6)              |
|   http://use.perl.org/article.pl?sid=02/08/26/1845224              |
+--------------------------------------------------------------------+Please, if you feel inclined, make sure some [0]reasonable questions are
asked of him.Discuss this story at:
    http://use.perl.org/comments.pl?sid=02/08/26/1845224Links:
    0. http://interviews.slashdot.org/article.pl?sid=02/08/25/236217&tid=145Copyright 1997-2002 pudge.  All rights reserved.
======================================================================You have received this message because you subscribed to it
on use Perl.  To stop receiving this and other
messages from use Perl, or to add more messages
or change your preferences, please go to your user page.	http://use.perl.org/my/messages/You can log in and change your preferences from there.",1839,1,1,"['Legitimate newsletter content', 'Official domain links', 'No urgent language']"
schedule crawler : hourahead failure start date : 1 / 21 / 02 ; hourahead hour : 15 ; hourahead schedule download failed . manual intervention required . log messages : parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2002012115 . txt error : dbcaps 97 data : cannot perform this operation on a closed database ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data error : dbcaps 97 data : cannot perform this operation on a closed database ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data error : dbcaps 97 data : cannot perform this operation on a closed database ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data error : dbcaps 97 data : cannot perform this operation on a closed database error : dbcaps 97 data : cannot perform this operation on a closed database error : dbcaps 97 data : cannot perform this operation on a closed database ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data error : dbcaps 97 data : cannot perform this operation on a closed database,1484,1,0,"['Error messages and database issues', 'No greeting or sender info', 'Technical jargon and errors']"
"> * FoRK is now almost all spam, somebody fix the damn subscriber-only-posting
> setting already, dont make me show up at your house Rohit ;)Upon a similar (albeit slightly friendlier :-) threat to Rohit et. al.,
I have received a promise that things will be fixed Real Soon Now.
Which is good because I don't want to have to piss off Kragen :-)- Joehttp://xent.com/mailman/listinfo/fork",387,1,1,"['no urgent language', 'no suspicious links', 'familiar context']"
"i know your company ! lt is really hard to recollect a company : the market is full of sugqestions and the information isoverwheiminq ; but a good catchy logo , styllsh stationery and outstanding webslte wiii make the task much easier . we do not promise that havinq ordered a logo your company wili automaticaliy become a world ieader : it isquite ciear that without qood products , effective business organization and practicable aim it will be hotat nowadays market ; but we do promise that your marketing efforts will become much more effective . here is the list of clear benefits : creativeness : hand - made , original logos , specially done to reflect your distinctive company image . convenience : logo and stationery are provided in all formats ; easy - to - use content management system letsyou change your website content and even its structure . promptness : you will see logo drafts within three business days . affordability : your marketing break - through shouldn ' t make gaps in your budget . 100 % satisfaction guaranteed : we provide unlimited amount of changes with no extra fees for you to be surethat you will love the result of this collaboration . have a look at our portfolio _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ not interested . . . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _",1436,0,0,"['promises quick results', 'offers unlimited changes', 'uses generic language']"
"september deal inactivation in sitara currently , prior month deals are inactivated in sitara for portfolio purposes on the 10 th of the month . for system efficiencies we would like to inactivate september deals this weekend if possible . this will have no affect on volume feedback . a system enhancement is being worked on so that we would not have to try to inactivate earlier than normal for next month . please contact me if this timing would cause you any problems . thank you russ x 37386",496,1,1,"['Informative tone', 'No suspicious links', 'No urgency']"
next generation ppv device . . . . . next generation ppv device . . . . . no more paying for movies & events on cable ! free tv is here ! new ! ! ! ! - - - eliminate cable box lockups follow this link here for more on this great product combo http : / / axthemax . com / promo . php ? id = 94091 you get the latest digital highpass filter as out gift to you the latest lockout busting filter brand new and available here only . plus a free bonus report explaining all the tips and tricks you need to know about your digital cable box . channels you can test at without paying include : all this for an amazingly low price ! follow the link below to get more information & your cable filter & lockout buster today ( before they sell out ) : http : / / axthemax . com / promo . php ? id = 94091 - - - - - - - - - - - not interested ? http : / / axthemax . com / remove . php ? id = 94091,885,0,0,"['Suspicious links', 'Promotional language', 'Urgent tone']"
"
NO MONEY Down Merchant  Accounts!
If you own your own business, you're starting a new business
or know someone who is.Being able to accept Major Credit Cards
can make all the difference in the world!Enter Here
Just the fact that you accept credit cards adds credibility to
your business. Especially if you are a New, Small or Home Based Business.
No Payment For The First  Month
Setup within 3-5 DaysApproval is quick and our set  up times range from 3-5 days.
Guaranteed approval on all leases for equipment or software.
Bad credit, no credit, no problem!ACCEPT CREDIT CARDS ONLINE or OFFLINE !!Enter Here""We search for the best offering's foryou; we do the research and you get only The superior"" results
this  email is brought to you by; TMC. . To abolishall future notices, please Enter here
",797,0,0,"['Urgent offer', 'Unusual formatting', 'Suspicious links']"
"On 23 Aug 2002 at 2:57, Robert Harley wrote:> It's an amusing anecdote, I don't know if it's true or not,
> but certainly nothing here supports the authoritative
> sounding conclusion ""Status: False"".I actually thought it was pretty funny and quite accurate.  Who cares if the spinmeisters are denying it?
http://xent.com/mailman/listinfo/fork",343,1,0,"['Unusual link', 'Lack of personal greeting', 'No verified sender']"
freemortgagequotes debt elimination is only one click away . let the banks compete for your mortgage or loan . no obligation just a quick form to fill in .,155,0,0,"['urgent tone', 'financial offer', 'no sender info']"
"re : visit to houston and vince kaminski ' s research group shijie , we would like you to meet tomorrow morning , starting at 9 : 00 , with a few members of the group . around 11 : 15 we shall go to lunch ( myself , stinson gibner and zimin lu ) . at 1 : 00 we would like you to make a presentation to the research group on the topic of your choice . after 2 : 30 we shall continue with individual meetings . we shall give you an agenda with the names and times when you arrive . you can come to the lobby of the enron building ( 1400 smith ) between 8 : 30 and 9 : 00 and call me ( 3 - 3848 ) or my assistant , shirley crenshaw ( 3 - 5290 ) , to be admitted to the building . we are on the 19 th floor . look forward to meeting you . vince kaminski shijie deng on 07 / 27 / 2000 10 : 10 : 03 am to : shirley . crenshaw @ enron . com cc : vince kaminski subject : re : visit to houston and vince kaminski ' s research group hi shirley , an overhead would be good . thanks . btw , is there happen to be an agenda for my visit ? thank you . shijie shi - jie deng assistant professor school of isye georgia institute of technology office phone : ( 404 ) 894 - 6519 e - mail : deng @ isye . gatech . edu home page : http : / / www . isye . gatech . edu / ~ deng on fri , 7 jul 2000 shirley . crenshaw @ enron . com wrote : > > shijie : > > thanks for the information . > > please let me know if you need av equipment , i . e . , lcd projector , overhead > projector , etc . > > thanks ! > > shirley > > > > > > > > > > shijie deng on 07 / 03 / 2000 11 : 40 : 05 am > > to : shirley . crenshaw @ enron . com > cc : vince kaminski > subject : re : visit to houston and vince kaminski ' s research group > > > > shirley , > > i just booked my flights and the hotel . i ' ll be arriving houston on > the evening of 7 / 27 and leaving on 7 / 29 . i ' ll stay at the doubletree > houston allen center for two nights . looking forward to meeting you at > enron . > > regards , > > shijie > > shi - jie deng > assistant professor > school of isye > georgia institute of technology > > office phone : ( 404 ) 894 - 6519 > e - mail : deng @ isye . gatech . edu > home page : http : / / www . isye . gatech . edu / ~ deng > > > > > > >",2220,1,1,"['personal greeting', 'verified sender domain', 'professional language']"
you ' ve been selected ! bowline dreamshove tobago cacophonistlisa aflame sideshowsoften militant quezonmedicate mockery cockleburswishy wrongdo gascony snoutulcerate crimp crumpsalient bottom carboloycytolysis,210,0,0,"['nonsensical content', 'lack of greeting', 'no links or sender info']"
